"Model","JC"
"Yokohama F. Marinos","Yokohama F.Marinos"
"Olympiacos","Olympiakos"
"Red Star Belgrade","Crvena Zvezda"
"Urawa Red Diamonds","Urawa Reds"
"Yokohama FC","FC Yokohama"
"Wolverhampton","Wolves"
"St Johnstone","St. Johnstone"
"FC St. Pauli","St. Pauli"
"Coventry City","Coventry"
"FK Nizhny Novgorod","FC Nizhny Novgorod"
"Varbergs BoIS FC","Varbergs"
"Degerfors IF","Degerfors"
"Krylia Sovetov","Krylya Sovetov Samara"
"Cardiff City","Cardiff"
"AFC Bournemouth","Bournemouth"
"Sheffield United","Sheff Utd"
"Sochi","PFC Sochi"
"Derby County","Derby"
"Luton Town","Luton"
"Peterborough United","Peterborough"
"Cheltenham Town","Cheltenham"
"Crewe Alexandra","Crewe"
"Doncaster Rovers","Doncaster"
"Fleetwood Town","Fleetwood"
"Wycombe Wanderers","Wycombe"
"Halmstads BK","Halmstads"
"Real Zaragoza","Zaragoza"
"Orlando City SC","Orlando City"
"FC Ufa","Ufa"
"Cambuur Leeuwarden","Cambuur"
"Kalmar FF","Kalmar"
"Orebro SK","Orebro"
"Malmo FF","Malmo"
"IFK Norrkoping","Norrkoping"
"New York City FC","New York City"
"Arminia Bielefeld","Bielefeld"
"Seattle Sounders FC","Seattle Sounders"
"Girona FC","Girona"
"Swansea City","Swansea"
"Huddersfield Town","Huddersfield"
"Preston North End","Preston"
"Ipswich Town","Ipswich"
"Shrewsbury Town","Shrewsbury"
"Rotherham United","Rotherham"
"Charlton Athletic","Charlton"
"Plymouth Argyle","Plymouth"
"Sporting de Charleroi","Charleroi"
"Ostersunds FK","Ostersunds"
"FC Khimki","Khimki"
"Real Oviedo","Oviedo"
"KV Oostende","Oostende"
"IK Sirius","Sirius"
"BK Hacken","Hacken"
"SV Zulte Waregem","Zulte Waregem"
"FC Cartagena","Cartagena"
"Sparta","Sparta Rotterdam"
"FC Arsenal Tula","Arsenal Tula"
"Paris Saint-Germain","Paris Saint Germain"
"Queens Park Rangers","QPR"
"Cambridge United","Cambridge Utd"
"Sheffield Wednesday","Sheff Wednesday"
"Oxford United","Oxford Utd"
"FC Krasnodar","FK Krasnodar"
"Cercle Brugge","Cercle Bruges"
"St. Truidense","Sint Truiden"
"KFCO Beerschot-Wilrijk","Beerschot VA"
"Montreal Impact","CF Montreal"
"Atlanta United FC","Atlanta Utd"
"Minnesota United FC","Minnesota Utd"
"Ural Sverdlovsk Oblast","Ural Yekaterinburg"
"Club Brugge","Bruges"
"AIK","AIK Solna"
"Djurgardens IF","Djurgardens"
"Zenit St Petersburg","Zenit St. Petersburg"
"Terek Grozny","Akhmat Grozny"
"St Etienne","St. Etienne"
"Los Angeles Galaxy","LA Galaxy"
"Colchester United","Colchester"
"Hartlepool","Hartlepool Utd"
"Tranmere Rovers","Tranmere"
"Real Valladolid","Valladolid"
"Mansfield Town","Mansfield"
"Swindon Town","Swindon"
"Bradford City","Bradford"
"Carlisle United","Carlisle"
"Northampton Town","Northampton"
"Oldham Athletic","Oldham"
"Sutton United","Sutton Utd"
"AD Alcorcon","Alcorcon"
"Sporting Gijon","Gijon"
"SD Ponferradina","Ponferradina"
"Real Sociedad II","Real Sociedad B"
"SD Huesca","Huesca"
"Young Boys","Young Boys Bern"
"FC Sheriff Tiraspol","Sheriff"
"FC Salzburg","Salzburg"
"FK Jerv","Jerv"
"Helsingborgs IF","Helsingborgs"
"GIF Sundsvall","Sundsvall"
"Kyoto Purple Sanga","Kyoto Sanga"
"Hamarkamaratene","Ham-Kam"
"KVC Westerlo","Westerlo"
"Eintracht Braunschweig","Braunschweig"
"1. FC Kaiserslautern","Kaiserslautern"
"1. FC Magdeburg","Magdeburg"
